"producto interno bruto por sectores de origen, trimestral, pesos corrientes, millones de pesos corrientes",,,,,
año,quarter,nivel1,nive2,nivel3,valor
2011,q2,Industrias,Manufactura Local,Industrias de Alimentos,23397.29884
2011,q3,Industrias,Manufactura Local,Industrias de Alimentos,21493.77899
2011,q4,Industrias,Manufactura Local,Industrias de Alimentos,24932.88635
2012,q1,Industrias,Manufactura Local,Industrias de Alimentos,24203.12648
2012,q2,Industrias,Manufactura Local,Industrias de Alimentos,25231.7714
2012,q3,Industrias,Manufactura Local,Industrias de Alimentos,21548.95038
2012,q4,Industrias,Manufactura Local,Industrias de Alimentos,27361.48142
2013,q1,Industrias,Manufactura Local,Industrias de Alimentos,24210.75144
2013,q2,Industrias,Manufactura Local,Industrias de Alimentos,26940.64925
2013,q3,Industrias,Manufactura Local,Industrias de Alimentos,24334.25244
2013,q4,Industrias,Manufactura Local,Industrias de Alimentos,29540.69032
2014,q1,Industrias,Manufactura Local,Industrias de Alimentos,26372.87376
2014,q2,Industrias,Manufactura Local,Industrias de Alimentos,29007.8877
2014,q3,Industrias,Manufactura Local,Industrias de Alimentos,25798.41692
2014,q4,Industrias,Manufactura Local,Industrias de Alimentos,31376.76014
2015,q1,Industrias,Manufactura Local,Industrias de Alimentos,29119.31682
2015,q2,Industrias,Manufactura Local,Industrias de Alimentos,30938.34744
2015,q3,Industrias,Manufactura Local,Industrias de Alimentos,28163.20593
2015,q4,Industrias,Manufactura Local,Industrias de Alimentos,32388.82568
2016,q1,Industrias,Manufactura Local,Industrias de Alimentos,29419.78901
2016,q2,Industrias,Manufactura Local,Industrias de Alimentos,32562.30869
2016,q3,Industrias,Manufactura Local,Industrias de Alimentos,29349.66211
2007,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,4475.964885
2007,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,4622.743934
2007,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5206.366634
2007,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5362.354947
2008,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,4697.935004
2008,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5332.589861
2008,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6089.228076
2008,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5702.223367
2009,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,4370.531115
2009,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5411.742442
2009,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5813.192254
2009,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6362.096655
2010,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,5508.054204
2010,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6054.489225
2010,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6191.979097
2010,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6735.703677
2011,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6122.055462
2011,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6017.153319
2011,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6406.676809
2011,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6917.467957
2012,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6064.794513
2012,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6430.96348
2012,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7024.719145
2012,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7522.215029
2013,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6040.970054
2013,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7074.58251
2013,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7692.543702
2013,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,9010.185308
2014,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,6336.515416
2014,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7425.500486
2014,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7771.249078
2014,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,9088.415387
2015,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7091.269263
2015,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7615.105749
2015,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,8754.616049
2015,q4,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,10029.51945
2016,q1,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,7944.640506
2016,q2,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,8421.364121
2016,q3,Industrias,Manufactura Local,Elaboración de Bebidas y Productos de Tabaco,8799.030115
2007,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,4972.424982
2007,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,4863.850835
2007,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5341.694148
2007,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5436.835805
2008,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6108.377959
2008,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6817.757155
2008,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6995.567717
2008,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6231.624077
2009,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5163.77221
2009,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5092.671019
2009,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5291.629921
2009,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5298.587595
2010,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6644.973852
2010,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5730.610406
2010,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5948.893455
2010,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6662.188303
2011,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6250.237663
2011,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,5733.127967
2011,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7052.36267
2011,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6509.980304
2012,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7411.816071
2012,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6790.471612
2012,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7285.602529
2012,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6092.537315
2013,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7652.895328
2013,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7373.42287
2013,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,8305.809905
2013,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7822.393092
2014,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7950.592211
2014,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7447.012529
2014,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,8181.699348
2014,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,8332.877672
2015,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6833.870579
2015,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,6332.736988
2015,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7513.641936
2015,q4,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,8216.269133
2016,q1,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7397.410785
2016,q2,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7648.177592
2016,q3,Industrias,Manufactura Local,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7289.308823
2007,q1,Industrias,Manufactura Local,Otras Manufacturas,18981.87447
2007,q2,Industrias,Manufactura Local,Otras Manufacturas,19992.526
2007,q3,Industrias,Manufactura Local,Otras Manufacturas,21579.84123
2007,q4,Industrias,Manufactura Local,Otras Manufacturas,22930.63642
2008,q1,Industrias,Manufactura Local,Otras Manufacturas,22649.54135
2008,q2,Industrias,Manufactura Local,Otras Manufacturas,25267.44038
2008,q3,Industrias,Manufactura Local,Otras Manufacturas,25482.76108
2008,q4,Industrias,Manufactura Local,Otras Manufacturas,23109.32486
2009,q1,Industrias,Manufactura Local,Otras Manufacturas,21750.55879
2009,q2,Industrias,Manufactura Local,Otras Manufacturas,23416.15617
2009,q3,Industrias,Manufactura Local,Otras Manufacturas,24366.85088
2009,q4,Industrias,Manufactura Local,Otras Manufacturas,23923.08361
2010,q1,Industrias,Manufactura Local,Otras Manufacturas,24424.40309
2010,q2,Industrias,Manufactura Local,Otras Manufacturas,27615.51294
2010,q3,Industrias,Manufactura Local,Otras Manufacturas,27494.56163
2010,q4,Industrias,Manufactura Local,Otras Manufacturas,27918.14582
2011,q1,Industrias,Manufactura Local,Otras Manufacturas,27767.52408
2011,q2,Industrias,Manufactura Local,Otras Manufacturas,29323.62587
2011,q3,Industrias,Manufactura Local,Otras Manufacturas,29223.1471
2011,q4,Industrias,Manufactura Local,Otras Manufacturas,30565.37185
2012,q1,Industrias,Manufactura Local,Otras Manufacturas,29145.55155
2012,q2,Industrias,Manufactura Local,Otras Manufacturas,30507.22777
2012,q3,Industrias,Manufactura Local,Otras Manufacturas,30646.11663
2012,q4,Industrias,Manufactura Local,Otras Manufacturas,31853.58827
2013,q1,Industrias,Manufactura Local,Otras Manufacturas,28914.39795
2013,q2,Industrias,Manufactura Local,Otras Manufacturas,31782.66864
2013,q3,Industrias,Manufactura Local,Otras Manufacturas,32067.91976
2013,q4,Industrias,Manufactura Local,Otras Manufacturas,33288.32098
2014,q1,Industrias,Manufactura Local,Otras Manufacturas,31392.16948
2014,q2,Industrias,Manufactura Local,Otras Manufacturas,33540.30001
2014,q3,Industrias,Manufactura Local,Otras Manufacturas,35558.96203
2014,q4,Industrias,Manufactura Local,Otras Manufacturas,35167.07957
2015,q1,Industrias,Manufactura Local,Otras Manufacturas,34346.14035
